"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.062203945E2,6.506068000E1,2.547411167E1,-1.448437243E1,3.000000000E0,1.171507835E0,2.915899963E2,4.205049222E-1,1.600000024E0,4.500000000E0,3.200000000E1
1.072354969E2,6.506068000E1,2.547408833E1,-1.428437504E1,3.200000000E0,1.169963598E0,2.774400024E2,4.217688824E-1,1.700000048E0,5.099999905E0,3.300000000E1
1.081979470E2,6.506068167E1,2.547406167E1,-1.388437864E1,3.600000000E0,1.180258036E0,2.782999878E2,4.225503199E-1,1.700000048E0,5.099999905E0,3.300000000E1
1.092262910E2,6.506068167E1,2.547404500E1,-1.358438050E1,3.900000000E0,1.174596071E0,2.696600037E2,4.232770892E-1,1.600000024E0,4.099999905E0,3.300000000E1
1.102229879E2,6.506067833E1,2.547403167E1,-1.318438074E1,4.300000000E0,1.182831645E0,2.688200073E2,4.240802019E-1,1.700000048E0,5.000000000E0,3.300000000E1
1.112259929E2,6.506067667E1,2.547401500E1,-1.278438197E1,4.700000000E0,1.159154415E0,2.141900024E2,4.248074845E-1,1.600000024E0,5.800000191E0,3.300000000E1
1.122351459E2,6.506067167E1,2.547400500E1,-1.228438121E1,5.200000000E0,1.105623364E0,2.299100037E2,4.255107785E-1,1.600000024E0,4.199999809E0,3.300000000E1
1.132285116E2,6.506067167E1,2.547399000E1,-1.188438289E1,5.600000000E0,1.045915604E0,2.428999939E2,4.263756635E-1,1.600000024E0,4.000000000E0,3.300000000E1
1.142320683E2,6.506067500E1,2.547397333E1,-1.148438600E1,6.000000000E0,9.692219496E-1,2.462599945E2,4.274527753E-1,1.600000024E0,4.800000191E0,3.300000000E1
1.152309627E2,6.506068167E1,2.547395667E1,-1.118439037E1,6.300000000E0,8.945872188E-1,2.812500000E2,4.286108328E-1,1.600000024E0,4.900000095E0,3.300000000E1
1.162018242E2,6.506068667E1,2.547393500E1,-1.098439467E1,6.500000000E0,8.405413628E-1,2.948599854E2,4.299791738E-1,1.600000024E0,5.900000095E0,3.300000000E1
1.172272582E2,6.506069167E1,2.547390833E1,-1.068439953E1,6.800000000E0,7.962752581E-1,2.984700012E2,4.317798584E-1,1.600000024E0,6.800000191E0,3.300000000E1
1.182101159E2,6.506069833E1,2.547387333E1,-1.038440595E1,7.100000000E0,8.652480841E-1,2.862900085E2,4.343006572E-1,1.600000024E0,6.300000191E0,3.300000000E1
